term,language,sightings,offensiveness,source,label,source_url,filter_group,filter_name,target_category,showing_range,coverage_note,text
chimp packs (plural of chimp pack),English,-,-,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D5%7Clanguage_id%3Deng,ethnicity,african_american,African American,Showing 1 - 50 of 65 results,selected_english_filters,[hate] chimp packs (plural of chimp pack): Hatebase entry. Target category: African American. Filter group: ethnicity. Language: English. Offensiveness: -. Sightings: -.
chimp-out,English,174 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D5%7Clanguage_id%3Deng,ethnicity,african_american,African American,Showing 1 - 50 of 65 results,selected_english_filters,[hate] chimp-out: Hatebase entry. Target category: African American. Filter group: ethnicity. Language: English. Offensiveness: Extremely offensive. Sightings: 174 sightings.
chimp-outs (plural of chimp pack),English,37 sightings,-,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D5%7Clanguage_id%3Deng,ethnicity,african_american,African American,Showing 1 - 50 of 65 results,selected_english_filters,[hate] chimp-outs (plural of chimp pack): Hatebase entry. Target category: African American. Filter group: ethnicity. Language: English. Offensiveness: -. Sightings: 37 sightings.
chimped-out (variant of chimp-out),English,14 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D5%7Clanguage_id%3Deng,ethnicity,african_american,African American,Showing 1 - 50 of 65 results,selected_english_filters,[hate] chimped-out (variant of chimp-out): Hatebase entry. Target category: African American. Filter group: ethnicity. Language: English. Offensiveness: Extremely offensive. Sightings: 14 sightings.
Congoid,English,880 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D5%7Clanguage_id%3Deng,ethnicity,african_american,African American,Showing 1 - 50 of 65 results,selected_english_filters,[hate] Congoid: Hatebase entry. Target category: African American. Filter group: ethnicity. Language: English. Offensiveness: Extremely offensive. Sightings: 880 sightings.
Congoids (plural of Congoid),English,436 sightings,-,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D5%7Clanguage_id%3Deng,ethnicity,african_american,African American,Showing 1 - 50 of 65 results,selected_english_filters,[hate] Congoids (plural of Congoid): Hatebase entry. Target category: African American. Filter group: ethnicity. Language: English. Offensiveness: -. Sightings: 436 sightings.
dindu (variant of dindu nuffin),English,"1,701 sightings",Extremely offensive,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D5%7Clanguage_id%3Deng,ethnicity,african_american,African American,Showing 1 - 50 of 65 results,selected_english_filters,"[hate] dindu (variant of dindu nuffin): Hatebase entry. Target category: African American. Filter group: ethnicity. Language: English. Offensiveness: Extremely offensive. Sightings: 1,701 sightings."
dindu nuffin,English,"3,699 sightings",Extremely offensive,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D5%7Clanguage_id%3Deng,ethnicity,african_american,African American,Showing 1 - 50 of 65 results,selected_english_filters,"[hate] dindu nuffin: Hatebase entry. Target category: African American. Filter group: ethnicity. Language: English. Offensiveness: Extremely offensive. Sightings: 3,699 sightings."
ghetto monkey (variant of porch monkey),English,181 sightings,-,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D5%7Clanguage_id%3Deng,ethnicity,african_american,African American,Showing 1 - 50 of 65 results,selected_english_filters,[hate] ghetto monkey (variant of porch monkey): Hatebase entry. Target category: African American. Filter group: ethnicity. Language: English. Offensiveness: -. Sightings: 181 sightings.
ghetto monkeys (plural of ghetto monkey),English,132 sightings,-,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D5%7Clanguage_id%3Deng,ethnicity,african_american,African American,Showing 1 - 50 of 65 results,selected_english_filters,[hate] ghetto monkeys (plural of ghetto monkey): Hatebase entry. Target category: African American. Filter group: ethnicity. Language: English. Offensiveness: -. Sightings: 132 sightings.
hoodrat,English,"2,897 sightings",Highly offensive,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D5%7Clanguage_id%3Deng,ethnicity,african_american,African American,Showing 1 - 50 of 65 results,selected_english_filters,"[hate] hoodrat: Hatebase entry. Target category: African American. Filter group: ethnicity. Language: English. Offensiveness: Highly offensive. Sightings: 2,897 sightings."
hoodrats (plural of hoodrat),English,"1,705 sightings",Highly offensive,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D5%7Clanguage_id%3Deng,ethnicity,african_american,African American,Showing 1 - 50 of 65 results,selected_english_filters,"[hate] hoodrats (plural of hoodrat): Hatebase entry. Target category: African American. Filter group: ethnicity. Language: English. Offensiveness: Highly offensive. Sightings: 1,705 sightings."
jigro,English,79 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D5%7Clanguage_id%3Deng,ethnicity,african_american,African American,Showing 1 - 50 of 65 results,selected_english_filters,[hate] jigro: Hatebase entry. Target category: African American. Filter group: ethnicity. Language: English. Offensiveness: Extremely offensive. Sightings: 79 sightings.
jigroes (plural of jigro),English,-,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D5%7Clanguage_id%3Deng,ethnicity,african_american,African American,Showing 1 - 50 of 65 results,selected_english_filters,[hate] jigroes (plural of jigro): Hatebase entry. Target category: African American. Filter group: ethnicity. Language: English. Offensiveness: Extremely offensive. Sightings: -.
jigros (plural of jigro),English,2 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D5%7Clanguage_id%3Deng,ethnicity,african_american,African American,Showing 1 - 50 of 65 results,selected_english_filters,[hate] jigros (plural of jigro): Hatebase entry. Target category: African American. Filter group: ethnicity. Language: English. Offensiveness: Extremely offensive. Sightings: 2 sightings.
jit,English,1 sighting,Moderately offensive,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D5%7Clanguage_id%3Deng,ethnicity,african_american,African American,Showing 1 - 50 of 65 results,selected_english_filters,[hate] jit: Hatebase entry. Target category: African American. Filter group: ethnicity. Language: English. Offensiveness: Moderately offensive. Sightings: 1 sighting.
kneegroes (plural of kneegrow),English,"1,580 sightings",-,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D5%7Clanguage_id%3Deng,ethnicity,african_american,African American,Showing 1 - 50 of 65 results,selected_english_filters,"[hate] kneegroes (plural of kneegrow): Hatebase entry. Target category: African American. Filter group: ethnicity. Language: English. Offensiveness: -. Sightings: 1,580 sightings."
kneegrow,English,"3,643 sightings",Extremely offensive,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D5%7Clanguage_id%3Deng,ethnicity,african_american,African American,Showing 1 - 50 of 65 results,selected_english_filters,"[hate] kneegrow: Hatebase entry. Target category: African American. Filter group: ethnicity. Language: English. Offensiveness: Extremely offensive. Sightings: 3,643 sightings."
mammy,English,39 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D5%7Clanguage_id%3Deng,ethnicity,african_american,African American,Showing 1 - 50 of 65 results,selected_english_filters,[hate] mammy: Hatebase entry. Target category: African American. Filter group: ethnicity. Language: English. Offensiveness: Extremely offensive. Sightings: 39 sightings.
mook,English,-,Highly offensive,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D5%7Clanguage_id%3Deng,ethnicity,african_american,African American,Showing 1 - 50 of 65 results,selected_english_filters,[hate] mook: Hatebase entry. Target category: African American. Filter group: ethnicity. Language: English. Offensiveness: Highly offensive. Sightings: -.
mooks (plural of mook),English,20 sightings,Moderately offensive,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D5%7Clanguage_id%3Deng,ethnicity,african_american,African American,Showing 1 - 50 of 65 results,selected_english_filters,[hate] mooks (plural of mook): Hatebase entry. Target category: African American. Filter group: ethnicity. Language: English. Offensiveness: Moderately offensive. Sightings: 20 sightings.
moolinyan (variant of moulignon),English,44 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D5%7Clanguage_id%3Deng,ethnicity,african_american,African American,Showing 1 - 50 of 65 results,selected_english_filters,[hate] moolinyan (variant of moulignon): Hatebase entry. Target category: African American. Filter group: ethnicity. Language: English. Offensiveness: Extremely offensive. Sightings: 44 sightings.
nigger-knock,English,1 sighting,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D5%7Clanguage_id%3Deng,ethnicity,african_american,African American,Showing 1 - 50 of 65 results,selected_english_filters,[hate] nigger-knock: Hatebase entry. Target category: African American. Filter group: ethnicity. Language: English. Offensiveness: Extremely offensive. Sightings: 1 sighting.
nigger-rig,English,20 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D5%7Clanguage_id%3Deng,ethnicity,african_american,African American,Showing 1 - 50 of 65 results,selected_english_filters,[hate] nigger-rig: Hatebase entry. Target category: African American. Filter group: ethnicity. Language: English. Offensiveness: Extremely offensive. Sightings: 20 sightings.
niggerdick,English,48 sightings,-,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D5%7Clanguage_id%3Deng,ethnicity,african_american,African American,Showing 1 - 50 of 65 results,selected_english_filters,[hate] niggerdick: Hatebase entry. Target category: African American. Filter group: ethnicity. Language: English. Offensiveness: -. Sightings: 48 sightings.
niggerdicks (plural of niggerdick),English,9 sightings,-,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D5%7Clanguage_id%3Deng,ethnicity,african_american,African American,Showing 1 - 50 of 65 results,selected_english_filters,[hate] niggerdicks (plural of niggerdick): Hatebase entry. Target category: African American. Filter group: ethnicity. Language: English. Offensiveness: -. Sightings: 9 sightings.
niggerette,English,198 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D5%7Clanguage_id%3Deng,ethnicity,african_american,African American,Showing 1 - 50 of 65 results,selected_english_filters,[hate] niggerette: Hatebase entry. Target category: African American. Filter group: ethnicity. Language: English. Offensiveness: Extremely offensive. Sightings: 198 sightings.
niggerettes (variant of nigger) (plural of niggerette),English,285 sightings,-,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D5%7Clanguage_id%3Deng,ethnicity,african_american,African American,Showing 1 - 50 of 65 results,selected_english_filters,[hate] niggerettes (variant of nigger) (plural of niggerette): Hatebase entry. Target category: African American. Filter group: ethnicity. Language: English. Offensiveness: -. Sightings: 285 sightings.
niggerfag,English,25 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D5%7Clanguage_id%3Deng,ethnicity,african_american,African American,Showing 1 - 50 of 65 results,selected_english_filters,[hate] niggerfag: Hatebase entry. Target category: African American. Filter group: ethnicity. Language: English. Offensiveness: Extremely offensive. Sightings: 25 sightings.
niggerization (variant of niggerize),English,115 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D5%7Clanguage_id%3Deng,ethnicity,african_american,African American,Showing 1 - 50 of 65 results,selected_english_filters,[hate] niggerization (variant of niggerize): Hatebase entry. Target category: African American. Filter group: ethnicity. Language: English. Offensiveness: Extremely offensive. Sightings: 115 sightings.
niggerize,English,125 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D5%7Clanguage_id%3Deng,ethnicity,african_american,African American,Showing 1 - 50 of 65 results,selected_english_filters,[hate] niggerize: Hatebase entry. Target category: African American. Filter group: ethnicity. Language: English. Offensiveness: Extremely offensive. Sightings: 125 sightings.
niggerton,English,48 sightings,-,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D5%7Clanguage_id%3Deng,ethnicity,african_american,African American,Showing 1 - 50 of 65 results,selected_english_filters,[hate] niggerton: Hatebase entry. Target category: African American. Filter group: ethnicity. Language: English. Offensiveness: -. Sightings: 48 sightings.
niggertown,English,44 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D5%7Clanguage_id%3Deng,ethnicity,african_american,African American,Showing 1 - 50 of 65 results,selected_english_filters,[hate] niggertown: Hatebase entry. Target category: African American. Filter group: ethnicity. Language: English. Offensiveness: Extremely offensive. Sightings: 44 sightings.
niggerville,English,197 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D5%7Clanguage_id%3Deng,ethnicity,african_american,African American,Showing 1 - 50 of 65 results,selected_english_filters,[hate] niggerville: Hatebase entry. Target category: African American. Filter group: ethnicity. Language: English. Offensiveness: Extremely offensive. Sightings: 197 sightings.
cairo coon (variant of sand nigger),English,6 sightings,-,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D14%7Clanguage_id%3Deng,ethnicity,arabs,Arabs,Showing 1 - 35 of 35 results,selected_english_filters,[hate] cairo coon (variant of sand nigger): Hatebase entry. Target category: Arabs. Filter group: ethnicity. Language: English. Offensiveness: -. Sightings: 6 sightings.
cairo coons (plural of cairo coon),English,1 sighting,-,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D14%7Clanguage_id%3Deng,ethnicity,arabs,Arabs,Showing 1 - 35 of 35 results,selected_english_filters,[hate] cairo coons (plural of cairo coon): Hatebase entry. Target category: Arabs. Filter group: ethnicity. Language: English. Offensiveness: -. Sightings: 1 sighting.
deminigger (variant of seminiggers),English,-,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D14%7Clanguage_id%3Deng,ethnicity,arabs,Arabs,Showing 1 - 35 of 35 results,selected_english_filters,[hate] deminigger (variant of seminiggers): Hatebase entry. Target category: Arabs. Filter group: ethnicity. Language: English. Offensiveness: Extremely offensive. Sightings: -.
deminiggers (plural of deminigger),English,-,-,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D14%7Clanguage_id%3Deng,ethnicity,arabs,Arabs,Showing 1 - 35 of 35 results,selected_english_filters,[hate] deminiggers (plural of deminigger): Hatebase entry. Target category: Arabs. Filter group: ethnicity. Language: English. Offensiveness: -. Sightings: -.
derka derka,English,57 sightings,Highly offensive,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D14%7Clanguage_id%3Deng,ethnicity,arabs,Arabs,Showing 1 - 35 of 35 results,selected_english_filters,[hate] derka derka: Hatebase entry. Target category: Arabs. Filter group: ethnicity. Language: English. Offensiveness: Highly offensive. Sightings: 57 sightings.
derka derkas (plural of derka derka),English,11 sightings,-,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D14%7Clanguage_id%3Deng,ethnicity,arabs,Arabs,Showing 1 - 35 of 35 results,selected_english_filters,[hate] derka derkas (plural of derka derka): Hatebase entry. Target category: Arabs. Filter group: ethnicity. Language: English. Offensiveness: -. Sightings: 11 sightings.
durka durka (variant of derka derka),English,258 sightings,-,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D14%7Clanguage_id%3Deng,ethnicity,arabs,Arabs,Showing 1 - 35 of 35 results,selected_english_filters,[hate] durka durka (variant of derka derka): Hatebase entry. Target category: Arabs. Filter group: ethnicity. Language: English. Offensiveness: -. Sightings: 258 sightings.
durka durkas (variant of derka derka) (plural of durka durka),English,49 sightings,-,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D14%7Clanguage_id%3Deng,ethnicity,arabs,Arabs,Showing 1 - 35 of 35 results,selected_english_filters,[hate] durka durkas (variant of derka derka) (plural of durka durka): Hatebase entry. Target category: Arabs. Filter group: ethnicity. Language: English. Offensiveness: -. Sightings: 49 sightings.
hadji (variant of haji),English,70 sightings,Highly offensive,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D14%7Clanguage_id%3Deng,ethnicity,arabs,Arabs,Showing 1 - 35 of 35 results,selected_english_filters,[hate] hadji (variant of haji): Hatebase entry. Target category: Arabs. Filter group: ethnicity. Language: English. Offensiveness: Highly offensive. Sightings: 70 sightings.
hadjis (plural of hadji),English,100 sightings,-,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D14%7Clanguage_id%3Deng,ethnicity,arabs,Arabs,Showing 1 - 35 of 35 results,selected_english_filters,[hate] hadjis (plural of hadji): Hatebase entry. Target category: Arabs. Filter group: ethnicity. Language: English. Offensiveness: -. Sightings: 100 sightings.
haji,English,62 sightings,Highly offensive,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D14%7Clanguage_id%3Deng,ethnicity,arabs,Arabs,Showing 1 - 35 of 35 results,selected_english_filters,[hate] haji: Hatebase entry. Target category: Arabs. Filter group: ethnicity. Language: English. Offensiveness: Highly offensive. Sightings: 62 sightings.
hajis (plural of haji),English,183 sightings,-,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D14%7Clanguage_id%3Deng,ethnicity,arabs,Arabs,Showing 1 - 35 of 35 results,selected_english_filters,[hate] hajis (plural of haji): Hatebase entry. Target category: Arabs. Filter group: ethnicity. Language: English. Offensiveness: -. Sightings: 183 sightings.
hajji (variant of haji),English,61 sightings,Highly offensive,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D14%7Clanguage_id%3Deng,ethnicity,arabs,Arabs,Showing 1 - 35 of 35 results,selected_english_filters,[hate] hajji (variant of haji): Hatebase entry. Target category: Arabs. Filter group: ethnicity. Language: English. Offensiveness: Highly offensive. Sightings: 61 sightings.
hajjis (plural of hajji),English,228 sightings,-,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D14%7Clanguage_id%3Deng,ethnicity,arabs,Arabs,Showing 1 - 35 of 35 results,selected_english_filters,[hate] hajjis (plural of hajji): Hatebase entry. Target category: Arabs. Filter group: ethnicity. Language: English. Offensiveness: -. Sightings: 228 sightings.
hatzi (variant of haji),English,6 sightings,-,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D14%7Clanguage_id%3Deng,ethnicity,arabs,Arabs,Showing 1 - 35 of 35 results,selected_english_filters,[hate] hatzi (variant of haji): Hatebase entry. Target category: Arabs. Filter group: ethnicity. Language: English. Offensiveness: -. Sightings: 6 sightings.
hatzis (plural of hatzi),English,14 sightings,-,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D14%7Clanguage_id%3Deng,ethnicity,arabs,Arabs,Showing 1 - 35 of 35 results,selected_english_filters,[hate] hatzis (plural of hatzi): Hatebase entry. Target category: Arabs. Filter group: ethnicity. Language: English. Offensiveness: -. Sightings: 14 sightings.
jihadi-american,English,-,-,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D14%7Clanguage_id%3Deng,ethnicity,arabs,Arabs,Showing 1 - 35 of 35 results,selected_english_filters,[hate] jihadi-american: Hatebase entry. Target category: Arabs. Filter group: ethnicity. Language: English. Offensiveness: -. Sightings: -.
jihadi-americans (plural of jihadi-american),English,-,-,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D14%7Clanguage_id%3Deng,ethnicity,arabs,Arabs,Showing 1 - 35 of 35 results,selected_english_filters,[hate] jihadi-americans (plural of jihadi-american): Hatebase entry. Target category: Arabs. Filter group: ethnicity. Language: English. Offensiveness: -. Sightings: -.
lefty,English,-,Highly offensive,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D14%7Clanguage_id%3Deng,ethnicity,arabs,Arabs,Showing 1 - 35 of 35 results,selected_english_filters,[hate] lefty: Hatebase entry. Target category: Arabs. Filter group: ethnicity. Language: English. Offensiveness: Highly offensive. Sightings: -.
muslimic,English,-,-,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D14%7Clanguage_id%3Deng,ethnicity,arabs,Arabs,Showing 1 - 35 of 35 results,selected_english_filters,[hate] muslimic: Hatebase entry. Target category: Arabs. Filter group: ethnicity. Language: English. Offensiveness: -. Sightings: -.
sand ape (variant of sand nigger),English,33 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D14%7Clanguage_id%3Deng,ethnicity,arabs,Arabs,Showing 1 - 35 of 35 results,selected_english_filters,[hate] sand ape (variant of sand nigger): Hatebase entry. Target category: Arabs. Filter group: ethnicity. Language: English. Offensiveness: Extremely offensive. Sightings: 33 sightings.
sand apes (plural of sand ape),English,70 sightings,-,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D14%7Clanguage_id%3Deng,ethnicity,arabs,Arabs,Showing 1 - 35 of 35 results,selected_english_filters,[hate] sand apes (plural of sand ape): Hatebase entry. Target category: Arabs. Filter group: ethnicity. Language: English. Offensiveness: -. Sightings: 70 sightings.
sand monkey (variant of sand nigger),English,"1,471 sightings",Highly offensive,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D14%7Clanguage_id%3Deng,ethnicity,arabs,Arabs,Showing 1 - 35 of 35 results,selected_english_filters,"[hate] sand monkey (variant of sand nigger): Hatebase entry. Target category: Arabs. Filter group: ethnicity. Language: English. Offensiveness: Highly offensive. Sightings: 1,471 sightings."
sand monkeys (plural of sand monkey),English,"1,151 sightings",-,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D14%7Clanguage_id%3Deng,ethnicity,arabs,Arabs,Showing 1 - 35 of 35 results,selected_english_filters,"[hate] sand monkeys (plural of sand monkey): Hatebase entry. Target category: Arabs. Filter group: ethnicity. Language: English. Offensiveness: -. Sightings: 1,151 sightings."
sand niggerette (variant of sand nigger),English,1 sighting,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D14%7Clanguage_id%3Deng,ethnicity,arabs,Arabs,Showing 1 - 35 of 35 results,selected_english_filters,[hate] sand niggerette (variant of sand nigger): Hatebase entry. Target category: Arabs. Filter group: ethnicity. Language: English. Offensiveness: Extremely offensive. Sightings: 1 sighting.
sand niggerettes (plural of sand niggerette),English,-,-,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D14%7Clanguage_id%3Deng,ethnicity,arabs,Arabs,Showing 1 - 35 of 35 results,selected_english_filters,[hate] sand niggerettes (plural of sand niggerette): Hatebase entry. Target category: Arabs. Filter group: ethnicity. Language: English. Offensiveness: -. Sightings: -.
sand niglet,English,-,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D14%7Clanguage_id%3Deng,ethnicity,arabs,Arabs,Showing 1 - 35 of 35 results,selected_english_filters,[hate] sand niglet: Hatebase entry. Target category: Arabs. Filter group: ethnicity. Language: English. Offensiveness: Extremely offensive. Sightings: -.
sand niglets (plural of sand niglet),English,6 sightings,-,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D14%7Clanguage_id%3Deng,ethnicity,arabs,Arabs,Showing 1 - 35 of 35 results,selected_english_filters,[hate] sand niglets (plural of sand niglet): Hatebase entry. Target category: Arabs. Filter group: ethnicity. Language: English. Offensiveness: -. Sightings: 6 sightings.
sandnigger (variant of sand nigger),English,-,-,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D14%7Clanguage_id%3Deng,ethnicity,arabs,Arabs,Showing 1 - 35 of 35 results,selected_english_filters,[hate] sandnigger (variant of sand nigger): Hatebase entry. Target category: Arabs. Filter group: ethnicity. Language: English. Offensiveness: -. Sightings: -.
seminigger (variant of sand nigger),English,-,-,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D14%7Clanguage_id%3Deng,ethnicity,arabs,Arabs,Showing 1 - 35 of 35 results,selected_english_filters,[hate] seminigger (variant of sand nigger): Hatebase entry. Target category: Arabs. Filter group: ethnicity. Language: English. Offensiveness: -. Sightings: -.
seminiggers (plural of seminigger),English,-,-,hatebase,hate,https://hatebase.org/search_results/ethnicity_id%3D14%7Clanguage_id%3Deng,ethnicity,arabs,Arabs,Showing 1 - 35 of 35 results,selected_english_filters,[hate] seminiggers (plural of seminigger): Hatebase entry. Target category: Arabs. Filter group: ethnicity. Language: English. Offensiveness: -. Sightings: -.
batiman (variant of batty boy),English,140 sightings,-,hatebase,hate,https://hatebase.org/search_results/orientation_id%3D3%7Clanguage_id%3Deng,sexual_orientation,homosexuals,Homosexuals,Showing 1 - 50 of 68 results,selected_english_filters,[hate] batiman (variant of batty boy): Hatebase entry. Target category: Homosexuals. Filter group: sexual_orientation. Language: English. Offensiveness: -. Sightings: 140 sightings.
batimen (plural of batiman),English,9 sightings,-,hatebase,hate,https://hatebase.org/search_results/orientation_id%3D3%7Clanguage_id%3Deng,sexual_orientation,homosexuals,Homosexuals,Showing 1 - 50 of 68 results,selected_english_filters,[hate] batimen (plural of batiman): Hatebase entry. Target category: Homosexuals. Filter group: sexual_orientation. Language: English. Offensiveness: -. Sightings: 9 sightings.
batty boy,English,"1,210 sightings",-,hatebase,hate,https://hatebase.org/search_results/orientation_id%3D3%7Clanguage_id%3Deng,sexual_orientation,homosexuals,Homosexuals,Showing 1 - 50 of 68 results,selected_english_filters,"[hate] batty boy: Hatebase entry. Target category: Homosexuals. Filter group: sexual_orientation. Language: English. Offensiveness: -. Sightings: 1,210 sightings."
batty boys (plural of batty boy),English,770 sightings,-,hatebase,hate,https://hatebase.org/search_results/orientation_id%3D3%7Clanguage_id%3Deng,sexual_orientation,homosexuals,Homosexuals,Showing 1 - 50 of 68 results,selected_english_filters,[hate] batty boys (plural of batty boy): Hatebase entry. Target category: Homosexuals. Filter group: sexual_orientation. Language: English. Offensiveness: -. Sightings: 770 sightings.
batty bwoy (variant of batty boy),English,588 sightings,-,hatebase,hate,https://hatebase.org/search_results/orientation_id%3D3%7Clanguage_id%3Deng,sexual_orientation,homosexuals,Homosexuals,Showing 1 - 50 of 68 results,selected_english_filters,[hate] batty bwoy (variant of batty boy): Hatebase entry. Target category: Homosexuals. Filter group: sexual_orientation. Language: English. Offensiveness: -. Sightings: 588 sightings.
batty bwoys (plural of batty bwoy),English,81 sightings,-,hatebase,hate,https://hatebase.org/search_results/orientation_id%3D3%7Clanguage_id%3Deng,sexual_orientation,homosexuals,Homosexuals,Showing 1 - 50 of 68 results,selected_english_filters,[hate] batty bwoys (plural of batty bwoy): Hatebase entry. Target category: Homosexuals. Filter group: sexual_orientation. Language: English. Offensiveness: -. Sightings: 81 sightings.
batty man (variant of batty boy),English,780 sightings,-,hatebase,hate,https://hatebase.org/search_results/orientation_id%3D3%7Clanguage_id%3Deng,sexual_orientation,homosexuals,Homosexuals,Showing 1 - 50 of 68 results,selected_english_filters,[hate] batty man (variant of batty boy): Hatebase entry. Target category: Homosexuals. Filter group: sexual_orientation. Language: English. Offensiveness: -. Sightings: 780 sightings.
batty men (plural of batty man),English,135 sightings,-,hatebase,hate,https://hatebase.org/search_results/orientation_id%3D3%7Clanguage_id%3Deng,sexual_orientation,homosexuals,Homosexuals,Showing 1 - 50 of 68 results,selected_english_filters,[hate] batty men (plural of batty man): Hatebase entry. Target category: Homosexuals. Filter group: sexual_orientation. Language: English. Offensiveness: -. Sightings: 135 sightings.
battyman (variant of batty boy),English,"1,209 sightings",-,hatebase,hate,https://hatebase.org/search_results/orientation_id%3D3%7Clanguage_id%3Deng,sexual_orientation,homosexuals,Homosexuals,Showing 1 - 50 of 68 results,selected_english_filters,"[hate] battyman (variant of batty boy): Hatebase entry. Target category: Homosexuals. Filter group: sexual_orientation. Language: English. Offensiveness: -. Sightings: 1,209 sightings."
battymen (plural of battyman),English,257 sightings,-,hatebase,hate,https://hatebase.org/search_results/orientation_id%3D3%7Clanguage_id%3Deng,sexual_orientation,homosexuals,Homosexuals,Showing 1 - 50 of 68 results,selected_english_filters,[hate] battymen (plural of battyman): Hatebase entry. Target category: Homosexuals. Filter group: sexual_orientation. Language: English. Offensiveness: -. Sightings: 257 sightings.
bull dyke (variant of dyke),English,"2,509 sightings",-,hatebase,hate,https://hatebase.org/search_results/orientation_id%3D3%7Clanguage_id%3Deng,sexual_orientation,homosexuals,Homosexuals,Showing 1 - 50 of 68 results,selected_english_filters,"[hate] bull dyke (variant of dyke): Hatebase entry. Target category: Homosexuals. Filter group: sexual_orientation. Language: English. Offensiveness: -. Sightings: 2,509 sightings."
